PWSID,ZIPCODE
AZ0407095,85203
AZ0407095,85274
AZ0407096,85382
AZ0407096,85345
AZ0407096,85381
AZ0407096,85383
AZ0407098,85016
AZ0407098,85251
AZ0407098,85377
AZ0407098,85256
AZ0407098,85257
AZ0407098,85282
AZ0407098,85258
AZ0407098,85261
AZ0407098,85255
AZ0407098,85331
AZ0407098,85250
AZ0407098,85018
AZ0407098,85281
AZ0407098,85268
AZ0407098,85259
AZ0407098,85267
AZ0407098,85266
AZ0407098,85260
AZ0407098,85253
AZ0407098,85254
AZ0407098,85262
AZ0407098,85252
AZ0407099,85351
AZ0407099,85363
AZ0407099,85373
AZ0407100,85282
AZ0407100,85284
AZ0407100,85281
AZ0407100,85283
AZ0407120,85248
AZ0407150,85375
AZ0407154,85326
AZ0407406,85323
AZ0407500,85379
AZ0407500,85374
AZ0407504,85086
AZ0407520,85383
AZ0407522,85086
AZ0407523,85387
AZ0407523,85375
AZ0408020,86409
AZ0408020,86402
AZ0408020,86401
AZ0408022,86404
AZ0408022,86406
AZ0408022,86405
AZ0408022,86403
AZ0408062,86429
AZ0408063,86426
AZ0408063,86440
AZ0408063,86442
AZ0409003,85929
AZ0409004,85933
AZ0409026,85901
AZ0409308,86032
AZ0410004,85614
AZ0410004,85622
AZ0410004,85629
AZ0410041,85641
AZ0410051,85705
AZ0410076,85737
AZ0410076,85742
AZ0410076,85704
AZ0410076,85741
AZ0410112,85741
AZ0410112,85749
AZ0410112,85658
AZ0410112,85746
AZ0410112,85706
AZ0410112,85705
AZ0410112,85745
AZ0410112,85743
AZ0410112,85730
AZ0410112,85653
AZ0410112,85742
AZ0410112,85757
AZ0410112,85739
AZ0410112,85704
AZ0410112,85750
AZ0410112,85629
AZ0410112,85714
AZ0410112,85715
AZ0410112,85716
AZ0410112,85755
AZ0410112,85718
AZ0410112,85736
AZ0410112,85712
AZ0410112,85707
AZ0410112,85708
AZ0410112,85709
AZ0410112,85726
AZ0410112,85701
AZ0410112,85748
AZ0410112,85711
AZ0410112,85710
AZ0410112,85641
AZ0410112,85713
AZ0410112,85721
AZ0410112,85719
AZ0410112,85747
AZ0410112,85735
AZ0410112,85756
AZ0410164,85737
AZ0410164,85742
AZ0410164,85755
AZ0410164,85704
AZ0410164,85739
AZ0410312,85629
AZ0411004,85120
AZ0411009,85122
AZ0411012,85172
AZ0411017,85132
AZ0411039,85119
AZ0411039,85120
AZ0411117,85739
AZ0411131,85138
AZ0412004,85621
AZ0412011,85648
AZ0413025,86326
AZ0413045,86305
AZ0413045,86303
AZ0413045,86323
AZ0413045,86313
AZ0413045,86301
AZ0413048,86315
AZ0413048,86327
AZ0413048,86314
