PWSID,ZIPCODE
AZ0414004,85367
AZ0414005,85349
AZ0414015,85350
AZ0414024,85364
AZ0420423,85721
CA0110001,94536
CA0110001,94537
CA0110001,94538
CA0110001,94539
CA0110001,94544
CA0110001,94555
CA0110001,94560
CA0110001,94587
CA0110003,94550
CA0110003,94551
CA0110003,94566
CA0110005,94501
CA0110005,94502
CA0110005,94506
CA0110005,94507
CA0110005,94523
CA0110005,94525
CA0110005,94526
CA0110005,94528
CA0110005,94530
CA0110005,94541
CA0110005,94542
CA0110005,94546
CA0110005,94547
CA0110005,94549
CA0110005,94552
CA0110005,94553
CA0110005,94556
CA0110005,94563
CA0110005,94564
CA0110005,94572
CA0110005,94577
CA0110005,94578
CA0110005,94579
CA0110005,94580
CA0110005,94582
CA0110005,94583
CA0110005,94595
CA0110005,94596
CA0110005,94597
CA0110005,94598
CA0110005,94601
CA0110005,94602
CA0110005,94603
CA0110005,94605
CA0110005,94606
CA0110005,94607
CA0110005,94608
CA0110005,94609
CA0110005,94610
CA0110005,94611
CA0110005,94612
CA0110005,94613
CA0110005,94618
CA0110005,94619
CA0110005,94621
CA0110005,94702
CA0110005,94703
CA0110005,94704
CA0110005,94705
CA0110005,94706
CA0110005,94707
CA0110005,94708
CA0110005,94709
CA0110005,94710
CA0110005,94720
CA0110005,94801
CA0110005,94803
CA0110005,94804
CA0110005,94805
CA0110005,94806
CA0110006,94545
CA0110008,94566
CA0110009,94568
CA0110009,94582
CA0110011,94550
CA0110011,94551
CA0410002,95926
CA0410002,95928
CA0410002,95973
CA0410006,95966
CA0410007,95967
CA0410007,95969
CA0410011,95927
CA0510006,95249
CA0510016,95249
CA0710001,94509
CA0710001,94531
CA0710002,94565
CA0710003,94517
CA0710003,94518
CA0710003,94519
CA0710003,94520
CA0710003,94521
CA0710003,94523
CA0710003,94524
CA0710003,94527
CA0710003,94553
CA0710003,94569
CA0710003,94596
CA0710003,94597
CA0710003,94598
CA0710004,94513
CA0710006,94523
CA0710006,94553
CA0710007,94561
CA0710008,94565
CA0710009,94514
CA0810001,95531
CA0910001,95613
CA0910001,95619
CA0910001,95623
CA0910001,95667
CA0910001,95672
CA0910001,95682
CA0910001,95684
CA0910001,95709
CA0910001,95720
CA0910001,95726
CA0910001,95762
CA0910002,96150
CA0910002,96151
CA0910002,96152
CA0910002,96154
CA0910002,96155
CA0910002,96156
CA0910002,96157
CA0910002,96158
CA1010003,93611
CA1010004,93210
CA1010007,93612
CA1010007,93650
CA1010007,93701
CA1010007,93702
CA1010007,93703
CA1010007,93704
CA1010007,93705
CA1010007,93706
CA1010007,93710
CA1010007,93711
CA1010007,93720
CA1010007,93721
CA1010007,93722
CA1010007,93725
CA1010007,93726
CA1010007,93727
CA1010007,93728
CA1010007,93740
CA1010018,93630
CA1010019,93631
CA1010024,93625
CA1010024,93662
CA1010025,93648
CA1010027,93654
CA1010029,93657
CA1010339,93740
CA1210001,95518
CA1210001,95521
CA1210004,95501
CA1210004,95503
CA1210006,95540
